id,name,code,xml_code,active,description
ec_dt_01,Factura,1,01,True,
ec_dt_02,Nota o boleta de venta,2,02,True,
ec_dt_03,Liquidación de compra de Bienes o Prestación de servicios,3,03,True,
ec_dt_04,Nota de Crédito,4,04,True,
ec_dt_05,Nota de Débito,5,05,True,
ec_dt_06,Guías de Remisión,6,06,True,
ec_dt_07,Comprobante de Retención,7,07,True,
ec_dt_08,Boletos o entradas a espectáculos públicos,8,08,True,
ec_dt_09,Tiquetes o vales emitidos por máquinas registradoras,9,09,True,
ec_dt_11,Pasajes expedidos por empresas de aviación,11,11,True,
ec_dt_12,Documentos emitidos por instituciones financieras,12,12,True,
ec_dt_15,Comprobantes de venta emitidos en exterior,15,15,True,
ec_dt_16,Formulario Único de Exportación (FUE) o Declaración Aduanera Única (DAU) o Declaración Andina de Valor (DAV),16,16,True,
ec_dt_18,Documentos autorizados utilizados en ventas excepto N/C N/D,18,18,True,
ec_dt_19,Comprobantes de Pago de Cuotas o Aportes,19,19,True,Formulario Único de Exportación (FUE) o Declaración Aduanera Única (DAU) o Declaración Andina de Valor (DAV)
ec_dt_20,Documentos por Servicios Administrativos emitidos por Inst. del Estado,20,20,True,Documentos autorizados utilizados en ventas excepto N/C N/D
ec_dt_21,Carta de Porte Aéreo,21,21,True,
ec_dt_22,RECAP,20,20,True,
ec_dt_23,Nota de Crédito TC,23,23,True,
ec_dt_24,Nota de Débito TC,24,24,True,
ec_dt_41,Comprobante de venta emitido por reembolso,41,41,True,
ec_dt_42,Documento retención presuntiva y retención emitida por propio vendedor o por intermediario,42,42,True,
ec_dt_43,Liquidacion para Explotacion y Exploracion de Hidrocarburos,43,43,True,
ec_dt_44,Comprobante de Contribuciones y Aportes,44,44,True,
ec_dt_45,Liquidación por reclamos de aseguradoras,45,45,True,
ec_dt_47,N/C por Reembolso Emitida por Intermediario,47,47,True,
ec_dt_48,N/D por Reembolso Emitida por Intermediario,48,48,True,
ec_dt_49,Proveedor Directo de Exportador Bajo Régimen Especial,49,49,True,
ec_dt_50,A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta,50,50,True,
ec_dt_51,N/C A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta,51,51,True,
ec_dt_52,N/D A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta,52,52,True,
ec_dt_294,Liquidación de compra de Bienes Muebles Usados,294,294,True,
ec_dt_344,Liquidación de compra de vehículos usados,344,344,True,
ec_dt_364,Acta Entrega-Recepción PET,364,364,True,
ec_dt_370,Factura operadora transporte / socio,370,370,True,
ec_dt_371,Comprobante socio a operadora de transporte,371,371,True,
ec_dt_372,Nota de crédito operadora transporte / socio,372,372,True,
ec_dt_373,Nota de débito operadora transporte / socio,373,373,True,
ec_dt_375,Liquidación de compra RISE de bienes o prestación de servicios,375,375,True,
